Score;Summary;Text
4;Not as sweet as I expected, but still really good!;The good thing about Krave cereal is that it does taste like chocolate. The chocolate doesn't taste forced or artificial.
1;Bonsai Bare Branches;I got this gardenia bonsai in mid-February and it is not as I expected. Upon opening the package, the leaves are dull green, no buds, dried out and mostly dark brown.
3;Thick soup, a bit too thick;We enjoy thick soups. The Bob's Red Mill Whole Grains and Beans Soup Mix takes thick a bit too far.
5;My Mom was thrilled;I was a bit hesitant about ordering this because of the mixed reviews.  However, the good seemed to outweigh the bad and this just looked like something my mother would like so I ordered it.
4;Don't eat a whole one;One of the only things my mini poodle gets to eat. They don't bother him has long it is in moderation, if he is allowed a whole one it will give him the runs.
5;good deal;Same stable and good quality of Meiji Yan Yan. When I got the good deal from Amazon.
1;ROTTEN SERVICE...... ISH!;Well, just be sure that you dont mind ordering bulk and getting an entirely different product than you ordered!!! ~Amazon.com sellers' return policy doesn't allow returns.
5;She loves it;I can understand this might not be for every dog
5;Authentic Swedish pepparkakor;Just like my grandmother used to bake.  Because they're so thin, I've never eaten another cookie just like them.
5;Great treats;Any edible bone can cause a dog to choke, but Greenies changed their formula about a year ago to make it more digestible.  I love the product.
5;Not a fan of tea but I love this!;Not only am I not a fan of tea, I'm not a fan of licorice but I was open to trying this as a means to help me manage my IBS (I also use fennel and peppermint tea). This tastes so delicious, I want to drink it whether my stomach feels good or not! Yummy! And a cup does sooth my savage stomach.
5;Great Alternative to Potato Chips;Simply put this is a great alternative to regular potato chips.  These chips are all natural
5;Great Birthday Present;I bought this Gift Basket for my Mother's 92nd Birthday.  She loved the contents but she especially love the wooden box that came with the gift.
5;Great Flavor, Prompt Shipment!;After reading some earlier reviews I was very pleased when I recieved my order so promptly and in perfect condition.  I guess the cold weather may have also helped my chocolates not to melt, considering the packaging isn't the greatest (they are not individually wrapped).
3;Dad's favorite;The Emeril's decaf is my husbands favorite of all the decaf's we have tried so far. For me, it tastes a little burned and reminds me of Starbucks.
2;Check your boxes;I have been purchasing there products for 2-3 years now. Not always, but sometimes the box contains bugs inside the bones, that make my dog sick.
